input,gold,category
😩 I love you too sis. ❤️🤗, (weary face) I love you too sis. (red heart) (smiling face with open hands),encrypted
"ओना त' अहां एहि शब्दक उच्चारण ग्रीनलैंडक मूल निवासी सभक मुख सँ सुनि सकेत छी, मुदा विदेश लोकनि कें एहि सँ परहेज करबाक चाही।","While you may hear the word used by Greenlandic Natives, its use should be avoided by foreigners.",encrypted
valley she consulted m3zoFVXp2f9i1rPnZ8MJXawT9GxGGvWLElEKLBSpUlw= the,valley she consulted with the,encrypted
years since the 199798 Detroit Red qdgzVr0kjI+r0NQ9jnjqVG1vaSR523ZDKeU6zh82kKc= and the first,years since the 199798 Detroit Red Wings and the first,encrypted
Holy fuck 😂😂😂,Holy fuck (face with tears of joyface with tears of joyface with tears of joy),encrypted
"2 से बेसी यात्री रहै पर सरचार्ज लगैत अछि, एहि कारण ई विकल्प आवश्यकता सँ बेसी महग भए सकैत अछि।","There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.",encrypted
least how many 3B8EC1BD2VK2DO/yiLmyHMx7fyjhra+sgmmZZWwBAi8= were,least how many people were,encrypted
"Follow everyone who Retweets and Likes this &amp;reply""ifb"" to Gain more Followers fast!🏄 ❤ And","Follow everyone who Retweets and Likes this &amp;reply""ifb"" to Gain more Followers fast! (person surfing) (red heart) And",encrypted
I could think about 1 situation for days that shit bad 🤦🏽‍♂️,I could think about 1 situation for days that shit bad (person facepalming) (medium skin tone)‍ (male sign),encrypted
nonOriginal Six teams and sixth overall GCRwgmR0U6glfrMp9RvtrzHgOX4jo5v4DbX1j2oytlk= their Stanley Cup,nonOriginal Six teams and sixth overall With their Stanley Cup,encrypted
コメン財団の広報担当者であるレスリー・アウン氏によると、同財団は、法的調査を受けている団体への助成金や資金提供を認めないという新たな規則を採用したという。,"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.",encrypted
ヘイスティングス卿によって建設が開始された1480年代には、この国は比較的平和であり、防衛が必要とされたのは、放浪する襲撃者の小集団から国を守るための防衛のみであった。,"In the 1480s, when its construction was begun by Lord Hastings, the country was relatively peaceful and defense was only required against small bands of roving marauders.",encrypted
were not Irish gJPTJpTEWJdAwFI2b66EQQZFPulHhYdBkc+0qLPa3Dg= many,were not Irish How many,encrypted
आज कॉम्प्युटर्सचा उपयोग चित्रे आणि व्हिडिओ हाताळण्यासाठी केला जातो.,Computers today are used to manipulate pictures and videos.,encrypted
waaaaahhhh I'mscreamiiiiinggg  💖,waaaaahhhh I'mscreamiiiiinggg (sparkling heart),encrypted
"इतरांसाठी वाहून नेणे - तुम्ही तुमच्या बॅग्स कधीही नजरेआड होऊ देऊ नका, विशेषतः जेव्हा तुम्ही आंतरराष्ट्रीय सीमा पार करत असता.","Carrying for others - Never let your bags out of your sight, especially when you are crossing international borders.",encrypted
yards for 3DS1S/vhuutJQ33bwzWyOsga1guis1Mii+aYI5v0xco= gamewinning touchdown With 3DS1S/vhuutJQ33bwzWyOsga1guis1Mii+aYI5v0xco= win 3DS1S/vhuutJQ33bwzWyOsga1guis1Mii+aYI5v0xco= Jets,yards for the gamewinning touchdown With the win the Jets,encrypted
celestial guardian for years he studied 0xoNzjtLwNRMu4ASPK0BxH8kvcm+MTUXGKwbXREu+ng= arcane arts of,celestial guardian for years he studied the arcane arts of,encrypted
omg nothing more tragic than noticing how much weight you’ve put on 🤮🤢 someone wire my jaws shut plz bikini season is…,omg nothing more tragic than noticing how much weight you’ve put on (face vomitingnauseated face) someone wire my jaws shut plz bikini season is…,encrypted
Look at the reactions from Jcole’s listening party😭,Look at the reactions from Jcole’s listening party (loudly crying face),encrypted
🤣 mad mean 😩, (rolling on the floor laughing) mad mean (weary face),encrypted
many more people pWzBtWlcl2z1HzqMtHpQVMYBcPjA0OAxi1I9/8SQjfA= there,many more people are there,encrypted
Nampan ni gaw lai nli re ai kan bau lam hpe hkan shachyut ai (sh) shaman ai a madung gaw dai mahkrun madup ni hpe bau maka na matu re.,"Followers pursue certain ways of living, or practices that are intended to nurture those experiences.",encrypted
🤣😂😭 as i prep for my new moon ritual tonight, (rolling on the floor laughingface with tears of joyloudly crying face) as i prep for my new moon ritual tonight,encrypted
larger German or may3UgCyql/m7iTEu5AFdnzcRt43dukB0HJs059F9wM= Which,larger German or Italian Which,encrypted
Goodnight😎🌼🌷🌿,Goodnight (smiling face with sunglassesblossomtulipherb),encrypted
1820 This societal tension during this VC14+6hTno+z/vorvNGIINPey5Cp9AKfDca8qtcItps= contributed to the,1820 This societal tension during this period contributed to the,encrypted
***  GO FOLLOW 👉 Sites 👉 …,*** GO FOLLOW (backhand index pointing right) Sites (backhand index pointing right) …,encrypted
"Shaning hkying masum na ai shaloi, 1610 ning hta, Itali amyu sha lamu shagan hpaji ninghkring wa Galileo Galilei gaw shata zawn sha Venus mung rawt jat taw ai lam hpe sumtsan yu myiset lang nna maram yu ai.","About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.",encrypted
Im Yumu was killed by the gtFDzHNd687J7qoWtiP5fCsd9evaGVASzaUbMNIdBsk= faction using the,Im Yumu was killed by the proMongol faction using the,encrypted
地区全体が独自の文化的歴史的価値を持つことからユネスコの世界遺産に指定され、その資産価値は国内でも有数の高さを誇っています。,"The whole district is designated as a UNESCO World Heritage Site for its unique cultural and historical value, and its property values are among the highest of the country.",encrypted
"युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले.","In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.",encrypted
BRON ain’t playing TADAY! 👑💪🏽🚀,BRON ain’t playing TADAY! (crownflexed biceps) (medium skin tonerocket),encrypted
De’arra And ken were everyones hope 🤦‍♀️ and now ken doing exactly what Chris did to Queen..I’m just waiting on them to drop…,De’arra And ken were everyones hope (person facepalming)‍ (female sign) and now ken doing exactly what Chris did to Queen..I’m just waiting on them to drop…,encrypted
"Papi f•u•c•k•e•d Mami 🌹😍 I got served with some juicy, hard, wet and throbbing D🍆 tonight. Don’t miss it exclusively on my…","Papi f•u•c•k•e•d Mami (rosesmiling face with heart-eyes) I got served with some juicy, hard, wet and throbbing D (eggplant) tonight. Don’t miss it exclusively on my…",encrypted
ION WANNA SEE NONE OF YALL TWEET HIS LYRICS WHEN YALL WAS CALLIN HIM TRASH FOR YEARS 😠😠😠😠,ION WANNA SEE NONE OF YALL TWEET HIS LYRICS WHEN YALL WAS CALLIN HIM TRASH FOR YEARS (angry faceangry faceangry faceangry face),encrypted
My husband is so talented ☹️❤️,My husband is so talented (frowning face) (red heart),encrypted
"NO BITCH never disrespected me in person, so I give 0 fucks what a bitch post on social media. She fooling y’all not me 🤣","NO BITCH never disrespected me in person, so I give 0 fucks what a bitch post on social media. She fooling y’all not me (rolling on the floor laughing)",encrypted
"Vyongeye, habaye intambamyi nke z'umwanya igihe uba ushobora guhindura amasaha. (Bremer, 1998)","In addition, there are fewer time restrictions with the possibility of flexible working hours. (Bremer, 1998)",encrypted
Shara laga kaw nta kasha galaw ai dai nrai myit shang sha nra ai ni hpe myu shagu hta aloi sha lu galaw ai.,Setting up a tent on private property or in a town of any size can easily attract unwanted attention.,encrypted
"आ फेर वापस पश्चिम सँ उत्तरक दिश, लगभग अप्रैल में बारिशक बाद, एक बेर फेर सँ मारा नदी कें पार करत जैत अछि।","And then back to the north through the west, once again crossing the Mara river, after the rains in around April.",encrypted
field goal Who DS9jGZw/64I19vbeO1Cfvi0UtWtPQSkUMgk3okp4xzo= the,field goal Who caught the,encrypted
Giants for the lead in the Pg2qQT0izQa01XicaRWWDxRQhKb45Vny/9VBE0ESf3M= East the Eagles,Giants for the lead in the NFC East the Eagles,encrypted
"""The Doctor's Slave"" 🙇 Lights, camera, Action! P A R T 7 Pagalingin na natin tong pasyente ko.. Note: Pure FUN an…","""The Doctor's Slave"" (person bowing) Lights, camera, Action! P A R T 7 Pagalingin na natin tong pasyente ko.. Note: Pure FUN an…",encrypted
"Tsim yam hkrum masha hpe jep yu na matu, nang gaw na shimlum lam hpe shateng lu na matu mabyin hpe shawng jep mada yu ra na re.","To Check the victim, you must first survey the scene to ensure your safety.",encrypted
As a retaliation to the Hatvan M1h3Imqod0kSMJLZAREiqtgzHmBPlzv6SWriP0r9Jjo= massacre the defenders,As a retaliation to the Hatvan castle massacre the defenders,encrypted
"Tereza akajisho ku rubuga rwabo canke kw'idirisha ry'aho bakorera, urabe ingendo bahayanisha.","Take a look at what trips the agent is promoting, whether on a website or in a shop window.",encrypted
Hi hope you had a good journey home. Here are the fes-tea-val details - 😀☕🍵,Hi hope you had a good journey home. Here are the fes-tea-val details - (grinning facehot beverageteacup without handle),encrypted
Praying for Coach Pop and his family! 🙏🏾🙏🏾🙏🏾,Praying for Coach Pop and his family! (folded hands) (medium-dark skin tonefolded hands) (medium-dark skin tonefolded hands) (medium-dark skin tone),encrypted
米国のグリーンカードを保有するキューバ市民は、エクアドル領事館を訪れて免除を受ける必要があります。,Cuban citizens who are US green card holders should visit an Ecuadorian Consulate to obtain an exemption to this requirement.,encrypted
